,LTP,****,H36199,CREWE COAL SIDINGS (DRS),SELLAFIELD B.N.F.,   ,UDL,FL ,,06:37:00,06:37:00,ZZ,06:25:00,09:56:00
,LTP,1V43,C11154,MANCHESTER PICCADILLY,BRISTOL TEMPLE MEADS,   ,5  ,FL ,06:37:00,06:39:30,06:39:30,XC,06:00:00,09:11:00
TB,LTP,2J44,P17681,CREWE,SHREWSBURY,,7  ,   ,,06:40:00,06:40:00,AW,06:40:00,07:25:00
,LTP,****,P86009,MANCHESTER INT DPT (FL),CARLISLE,   ,UFL,   ,06:39:30,06:42:00,06:42:00,ZZ,05:25:00,09:37:00
,LTP,****,P86010,MANCHESTER INT DPT (FL),CARNFORTH D&U.G.L.,   ,UFL,   ,06:39:30,06:42:00,06:42:00,ZZ,05:25:00,08:21:00
TF,LTP,1K14,Y81728,BLACKPOOL NORTH,CREWE,   ,11 ,,06:42:00,,06:42:00,VT,05:30:00,06:42:00
,LTP,4M88,H27297,SOUTHAMPTON W DOCKS (GBRF),TRAFFORD PARK EURO TERM,   ,UFL,   ,,06:42:30,06:42:30,ZZ,01:01:00,08:07:00
,LTP,****,P85001,MANCHESTER INT DPT (FL),BLETCHLEY RELIEF 1,   ,UFL,   ,06:40:30,06:43:00,06:43:00,ZZ,05:16:00,08:37:00
,LTP,****,P85033,MANCHESTER INT DPT (FL),BLETCHLEY RELIEF 1,   ,6  ,SL ,06:39:30,06:43:00,06:43:00,ZZ,05:25:00,08:37:00
TF,LTP,5U20,P69695,CREWE C.S.,CREWE,   ,5  ,,06:46:00,,06:46:00,LM,06:43:00,06:46:00
TB,LTP,2H41,Y52763,CREWE,MANCHESTER PICCADILLY,,1  ,   ,,06:48:00,06:48:00,NT,06:48:00,07:44:00
TB,LTP,2Y00,P69024,CREWE,LONDON EUSTON,,8  ,SL ,,06:49:00,06:49:00,LM,06:49:00,10:19:00
TF,LTP,5K02,C61462,CREWE C.S. (L&NWR SITE),CREWE,   ,3  ,,06:50:00,,06:50:00,EM,06:43:00,06:50:00
TF,LTP,5K02,C61462,CREWE C.S. (L&NWR SITE),CREWE,   ,3  ,,06:50:00,,06:50:00,EM,06:46:00,06:50:00
,LTP,****,P86009,MANCHESTER INT DPT (FL),CARLISLE,   ,6  ,FL ,,06:52:00,06:52:00,ZZ,05:25:00,09:37:00
,LTP,****,P86010,MANCHESTER INT DPT (FL),CARNFORTH D&U.G.L.,   ,6  ,FL ,,06:52:00,06:52:00,ZZ,05:25:00,08:21:00
TB,LTP,1U20,P66273,CREWE,LONDON EUSTON,,5  ,   ,,06:52:00,06:52:00,LM,06:52:00,09:37:00
,LTP,1R13,Y81808,HOLYHEAD,LONDON EUSTON,   ,11 ,SL ,06:46:00,06:53:00,06:53:00,VT,04:48:00,08:34:00
TF,LTP,5K05,Y82153,LONGSIGHT CAR. M.D.,CREWE,   ,6  ,,06:53:00,,06:53:00,VT,06:03:00,06:53:00
TB,LTP,1D10,P16033,CREWE,HOLYHEAD,,9  ,   ,,06:56:00,06:56:00,AW,06:56:00,09:18:00
TB,LTP,1K02,C60354,CREWE,DERBY,,3  ,   ,,06:58:00,06:58:00,EM,06:58:00,08:13:00
,LTP,1F30,P66012,BIRMINGHAM NEW STREET,LIVERPOOL LIME STREET,   ,12 ,   ,06:57:00,06:59:00,06:59:00,LM,06:01:00,07:46:00
TF,LTP,2K30,Y53154,MANCHESTER PICCADILLY,CREWE,   ,1  ,,06:59:00,,06:59:00,NT,06:04:00,06:59:00
,LTP,****,P80270,WARRINGTON ROYAL MAIL(DBS),CREWE T.M.D. (E),   ,UDL,   ,06:49:00,07:00:00,07:00:00,ZZ,06:08:00,07:07:00
TF,LTP,5D51,P18717,CREWE C.S.,CREWE,   ,11 ,,07:00:00,,07:00:00,AW,06:57:00,07:00:00
,LTP,9G46,Y82383,PRESTON,BIRMINGHAM NEW STREET,   ,5  ,   ,06:58:30,07:01:30,07:01:30,VT,06:17:00,07:56:00
TF,LTP,1K04,P16440,CHESTER,CREWE,   ,9  ,,07:06:00,,07:06:00,AW,06:45:00,07:06:00
,VAR,1V33,P16523,MANCHESTER PICCADILLY,MILFORD HAVEN,   ,5  ,   ,07:06:30,07:08:30,07:08:30,AW,06:29:00,12:48:00
,LTP,1S36,Y81829,BIRMINGHAM NEW STREET,EDINBURGH,   ,12 ,   ,07:07:00,07:09:00,07:09:00,VT,06:16:00,10:18:00
TB,LTP,1H50,Y81683,CREWE,MANCHESTER PICCADILLY,,6  ,   ,,07:10:00,07:10:00,VT,07:10:00,07:47:00
TB,LTP,1D51,P16174,CREWE,CHESTER,,11 ,   ,,07:11:00,07:11:00,AW,07:11:00,07:35:00
TB,LTP,2F23,Y52274,CREWE,LIVERPOOL LIME STREET,,1  ,   ,,07:13:00,07:13:00,NT,07:13:00,09:28:00
,LTP,****,H33380,STAPLEFORD & SANDIACRE,TOTON T.M.D.,   ,2  ,   ,06:43:00,07:15:00,07:15:00,ZZ,05:00:00,16:25:00
TB,LTP,5G93,P18895,CREWE,CREWE,,9  ,   ,,07:15:00,07:15:00,AW,07:15:00,07:29:00
,LTP,1L65,P66149,LIVERPOOL LIME STREET,BIRMINGHAM NEW STREET,   ,6  ,SL ,07:15:00,07:17:00,07:17:00,LM,06:30:00,08:18:00
,LTP,1R17,Y81813,MANCHESTER PICCADILLY,LONDON EUSTON,   ,5  ,FL ,07:16:00,07:18:00,07:18:00,VT,06:43:00,08:54:00
,VAR,****,H32418,CREWE C.S. (L&NWR SITE),CREWE C.S. (L&NWR SITE),   ,1  ,   ,07:25:00,07:26:00,07:26:00,ZZ,18:38:00,07:31:00
,VAR,1W42,P16610,CARDIFF CENTRAL,MANCHESTER PICCADILLY,   ,5  ,   ,07:23:30,07:27:00,07:27:00,AW,04:35:00,08:09:00
,LTP,1F10,Y81548,LONDON EUSTON,LIVERPOOL LIME STREET,   ,11 ,   ,07:26:30,07:28:30,07:28:30,VT,05:27:00,08:03:00
TF,LTP,5G93,P18895,CREWE,CREWE,   ,12 ,,07:29:00,,07:29:00,AW,07:15:00,07:29:00
,LTP,1R19,Y81815,LIVERPOOL LIME STREET,LONDON EUSTON,   ,UFL,   ,,07:31:30,07:31:30,VT,07:00:00,09:04:00
,VAR,1S37,Y81832,LONDON EUSTON,GLASGOW CENTRAL,   ,6  ,   ,07:30:30,07:32:30,07:32:30,VT,05:31:00,10:38:00
